N1_60,FCI,sigma_v_eff_kpa,CSR7.5,T,Source,CRR_target
15.0,5.0,47.8,0.35847907949790797,1,Hanna2007,0.1956064193916749
31.0,7.0,67.7,0.49677282127031014,0,Hanna2007,0.9162416794950896
7.0,94.0,98.6,0.3957331845841785,1,Hanna2007,1.2223079795738898
18.0,21.0,126.9,0.1852278723404255,0,Hanna2007,0.37460940707907925
9.0,57.0,49.1,0.213642,1,Hanna2007,0.056874982847148356
42.0,42.0,158.9,0.3362237369414727,0,Hanna2007,1.8652248556471094
9.0,54.0,48.7,0.6912780030800822,1,Hanna2007,0.058709740978405305
20.0,1.0,79.1,0.40354530973451336,0,Hanna2007,0.3267122950889765
7.0,99.0,73.8,0.4600802168021681,1,Hanna2007,1.3100053348826408
5.0,70.0,39.0,0.1510824,1,Hanna2007,0.06903361066798033
30.0,20.0,180.0,0.3452678522222223,0,Hanna2007,1.73043220047008
26.0,51.0,134.6,0.6300248432392274,0,Hanna2007,1.3691494789290224
13.0,40.0,121.7,0.6746535546425638,1,Hanna2007,0.215207966981598
26.0,36.0,73.4,0.6135945803814714,0,Hanna2007,0.7402700243897624
33.0,10.0,109.3,0.4193029277218664,0,Hanna2007,1.2868709628560306
7.0,59.0,28.9,0.4552145674740485,1,Hanna2007,0.061789300858977256
5.0,99.0,48.2,0.16376116182572614,1,Hanna2007,1.4023433485510266
9.0,15.0,37.1,0.11923813746630726,1,Hanna2007,0.07529649015390814
23.0,18.0,132.3,0.16630758503401358,0,Hanna2007,0.41566719573193883
36.0,19.0,188.2,0.3311430042507971,0,Hanna2007,1.9237987391533993
9.0,31.0,43.1,0.5343372807424595,1,Hanna2007,0.08760070532637307
6.0,90.0,14.0,0.2981735714285715,0,Hanna2007,1.4744816237930967
8.0,94.0,20.6,0.37947,0,Hanna2007,1.3362356752372306
7.0,100.0,27.3,0.41734857142857146,0,Hanna2007,1.470544416355965
5.0,87.0,34.0,0.4376006470588235,0,Hanna2007,0.34237266566651625
5.0,74.0,41.5,0.4449733975903615,1,Hanna2007,0.08304220838296554
3.0,92.0,47.8,0.4533274058577406,0,Hanna2007,1.3680538259089263
3.0,97.0,55.9,0.4579627906976745,0,Hanna2007,1.3899032637277051
19.0,70.0,65.6,0.4536940548780488,1,Hanna2007,0.32977418312048745
26.0,58.0,75.2,0.4487765957446808,0,Hanna2007,0.6670643950451098
48.0,5.0,85.0,0.4426561176470588,0,Hanna2007,1.5759384410844264
3.0,74.0,15.8,0.29175949367088605,1,Hanna2007,0.22901375795311152
5.0,86.0,22.6,0.36715681415929197,1,Hanna2007,0.36379477357059276
