Location,"Lat,Long",Borehole ,Depth(ft),Depth-Z(m),GWT(m),N-06,N-12,N-18,N -Value,σv,σv',CE,CB,CS,CR,CN,(N1)60,Soil Type ,Soil USCS,FC,FCI,rd,CSR7.5,CRR,Rp,a(max),g,Mw,MSF,FS,Liquefaction,SL,γ,γw
"Salim Uddin, Baypass Road, 02.04.2022(03)",,01,5.0,1.524,3.3528000000000002,2.0,2.0,2.0,4.0,28.194,28.194,0.6,1.0,1.0,0.75,1.4251724411981872,3.0,Reddish soft clay .,CL,70.0,3.0,0.97714,0.22865075999999998,0.10510119915691833,,3.5316,9.81,7.5,0.9996389409159898,0.45949224666571137,Liquefiable,,18.5,9.81
"Salim Uddin, Baypass Road, 02.04.2022(03)",,01,10.0,3.048,3.3528000000000002,3.0,5.0,7.0,12.0,59.436,59.436,0.6,1.0,1.0,0.75,1.1757749246581033,6.0,Reddish stiff clay,CL,70.0,3.0,0.95428,0.22330152,0.1371117202605927,,3.5316,9.81,7.5,0.9996389409159898,0.6137988439508533,Liquefiable,,19.5,9.81
"Salim Uddin, Baypass Road, 02.04.2022(03)",,01,15.0,4.572,3.3528000000000002,5.0,8.0,10.0,18.0,89.15400000000001,77.19364800000001,0.6,1.0,1.0,0.85,1.0883552914529422,10.0,Reddish stiff clay,CL,70.0,3.0,0.93142,0.25172171641791047,0.17380556281419632,,3.5316,9.81,7.5,0.9996389409159898,0.6902177976906907,Liquefiable,,19.5,9.81
"Salim Uddin, Baypass Road, 02.04.2022(03)",,01,20.0,6.096,3.3528000000000002,7.0,11.0,14.0,25.0,118.87200000000001,91.96120800000001,0.6,1.0,1.0,0.95,1.029817502674286,15.0,Reddish stiff clay,CL,70.0,3.0,0.90856,0.2748174922939246,0.24274272654046775,,3.5316,9.81,7.5,0.9996389409159898,0.8829681111217145,Liquefiable,,19.5,9.81
"Salim Uddin, Baypass Road, 02.04.2022(03)",,01,25.0,7.62,3.3528000000000002,11.0,15.0,22.0,37.0,148.59,106.728768,0.6,1.0,1.0,0.95,0.9800163445313478,21.0,Grey hard clay,CL,70.0,3.0,0.8857,0.2885430303289925,0.4728539071868392,,3.5316,9.81,7.5,0.9996389409159898,1.638172228417,Not liquefiable,,19.5,9.81
"Salim Uddin, Baypass Road, 02.04.2022(03)",,01,30.0,9.144,3.3528000000000002,16.0,23.0,27.0,50.0,178.308,121.49632799999999,0.6,1.0,1.0,0.95,0.9366794693196977,27.0,Grey hard clay,CL,70.0,3.0,0.86284,0.29631511402122374,1.7647892481855931,,3.5316,9.81,7.5,0.9996389409159898,5.953635071310652,Not liquefiable,,19.5,9.81
"Salim Uddin, Baypass Road, 02.04.2022(03)",,01,35.0,10.668000000000001,3.3528000000000002,21.0,25.0,27.0,52.0,208.02600000000004,136.263888,0.6,1.0,1.0,1.0,0.8983198987956956,28.0,Grey hard clay,CL,70.0,3.0,0.83998,0.30006935512011806,2.7156773321724548,,3.5316,9.81,7.5,0.9996389409159898,9.046897878377942,Not liquefiable,,19.5,9.81
"Salim Uddin, Baypass Road, 02.04.2022(03)",,01,40.0,12.192,3.3528000000000002,22.0,27.0,28.0,55.0,237.744,151.031448,0.6,1.0,1.0,1.0,0.8639112093080511,29.0,Grey hard clay,CL,70.0,3.0,0.8171200000000001,0.3009843240297875,3.22357235145765,,3.5316,9.81,7.5,0.9996389409159898,10.70623349493205,Not liquefiable,,19.5,9.81
"Salim Uddin, Baypass Road, 02.04.2022(03)",,01,45.0,13.716000000000001,3.3528000000000002,22.0,28.0,29.0,57.0,267.462,165.79900799999996,0.6,1.0,1.0,1.0,0.8327150122753815,28.0,Grey hard clay,CL,70.0,3.0,0.79426,0.29981869457313043,3.188254497196355,,3.5316,9.81,7.5,0.9996389409159898,10.630102147184894,Not liquefiable,,19.5,9.81
"Salim Uddin, Baypass Road, 02.04.2022(03)",,01,50.0,15.24,3.3528000000000002,24.0,30.0,32.0,62.0,297.18,180.56656800000002,0.6,1.0,1.0,1.0,0.8041823421224922,30.0,Brown medium dense sand with clay,CL,70.0,3.0,0.7714,0.29708294930875573,5.603478833267277,,3.5316,9.81,7.5,0.9996389409159898,18.854854037789032,Not liquefiable,,19.5,9.81
"Salim Uddin, Baypass Road, 02.04.2022(03)",,03,5.0,1.524,2.4384,2.0,3.0,4.0,7.0,28.194,28.194,0.6,1.0,1.0,0.75,1.4251724411981872,4.0,Reddish soft clay .,CL,70.0,3.0,0.97714,0.22865075999999998,0.12077561861203025,,3.5316,9.81,7.5,0.9996389409159898,0.5280192879210348,Liquefiable,,18.5,9.81
"Salim Uddin, Baypass Road, 02.04.2022(03)",,03,10.0,3.048,2.4384,3.0,5.0,6.0,11.0,59.436,53.455824,0.6,1.0,1.0,0.75,1.2112369247866106,6.0,Reddish stiff clay,CL,70.0,3.0,0.95428,0.24828256585699623,0.13390904523950642,,3.5316,9.81,7.5,0.9996389409159898,0.5391465796248922,Liquefiable,,19.5,9.81
"Salim Uddin, Baypass Road, 02.04.2022(03)",,03,15.0,4.572,2.4384,5.0,10.0,12.0,22.0,89.154,68.223384,0.6,1.0,1.0,0.85,1.1296644884811111,13.0,Reddish stiff clay,CL,70.0,3.0,0.93142,0.28481902291917977,0.20842967882367203,,3.5316,9.81,7.5,0.9996389409159898,0.7315326808556536,Liquefiable,,19.5,9.81
"Salim Uddin, Baypass Road, 02.04.2022(03)",,03,20.0,6.096,2.4384,8.0,14.0,16.0,30.0,118.872,82.990944,0.6,1.0,1.0,0.95,1.0641394541191702,18.0,Grey hard clay,CL,70.0,3.0,0.90856,0.30452176289114147,0.3410766463467516,,3.5316,9.81,7.5,0.9996389409159898,1.119635898230125,Not liquefiable,,19.5,9.81
"Salim Uddin, Baypass Road, 02.04.2022(03)",,03,25.0,7.62,2.4384,11.0,16.0,20.0,36.0,148.58999999999997,97.75850399999997,0.6,1.0,1.0,0.95,1.0093740955223112,21.0,Grey hard clay,CL,70.0,3.0,0.8857,0.31501957253764856,0.4760130573154158,,3.5316,9.81,7.5,0.9996389409159898,1.51051309175431,Not liquefiable,,19.5,9.81
"Salim Uddin, Baypass Road, 02.04.2022(03)",,03,30.0,9.144,2.4384,14.0,23.0,27.0,50.0,178.30800000000002,112.52606400000002,0.6,1.0,1.0,0.95,0.9623281879940543,27.0,Grey hard clay,CL,70.0,3.0,0.86284,0.3199365285226719,2.218604823274741,,3.5316,9.81,7.5,0.9996389409159898,6.932011752738346,Not liquefiable,,19.5,9.81
"Salim Uddin, Baypass Road, 02.04.2022(03)",,03,35.0,10.668000000000001,2.4384,18.0,25.0,27.0,52.0,208.02600000000004,127.29362400000002,0.6,1.0,1.0,1.0,0.9210919755010782,29.0,Grey hard clay,CL,70.0,3.0,0.83998,0.32121496516054876,3.5082658533499522,,3.5316,9.81,7.5,0.9996389409159898,10.917919594255576,Not liquefiable,,19.5,9.81
"Salim Uddin, Baypass Road, 02.04.2022(03)",,03,40.0,12.192,2.4384,20.0,26.0,30.0,56.0,237.744,142.06118399999997,0.6,1.0,1.0,1.0,0.8843870155988762,30.0,Grey hard clay,CL,70.0,3.0,0.8171200000000001,0.31998957775489195,5.15386370665546,,3.5316,9.81,7.5,0.9996389409159898,16.1005333157844,Not liquefiable,,19.5,9.81
"Salim Uddin, Baypass Road, 02.04.2022(03)",,03,45.0,13.716000000000001,2.4384,22.0,27.0,31.0,58.0,267.462,156.82874399999997,0.6,1.0,1.0,1.0,0.8513153351339722,30.0,Grey hard clay,CL,70.0,3.0,0.79426,0.3169676736050376,4.967142383046929,,3.5316,9.81,7.5,0.9996389409159898,15.665158830534583,Not liquefiable,,19.5,9.81
"Salim Uddin, Baypass Road, 02.04.2022(03)",,03,50.0,15.24,2.4384,27.0,31.0,32.0,63.0,297.18,171.59630399999998,0.6,1.0,1.0,1.0,0.8212219910410106,31.0,Brown medium dense sand with clay,CL,70.0,3.0,0.7714,0.3126130768410956,9.270419075133216,,3.5316,9.81,7.5,0.9996389409159898,29.643903574846625,Not liquefiable,,19.5,9.81
