Location,"Lat,Long",Borehole ,Depth(ft),Depth-Z(m),GWT(m),N-06,N-12,N-18,N -Value,σv,σv',CE,CB,CS,CR,CN,(N1)60,Soil Type ,Soil USCS,FC,FCI,rd,CSR7.5,CRR,Rp,a(max),g,Mw,MSF,SL,γ,γw
"Jamilur Rahman, Dhaka Daskhin, 23.05.2022(04)",,1,5.0,1.524,1.5,1.0,1.0,1.0,2.0,27.432,27.19656,0.6,1.0,1.0,0.8,1.7,1.632,,,,,0.97714,0.230630184417441,0.12829959098368,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Jamilur Rahman, Dhaka Daskhin, 23.05.2022(04)",,1,10.0,3.048,1.5,2.0,4.0,5.0,9.0,54.864,39.67812000000001,0.6,1.0,1.0,0.8,1.5875391959832383,6.858169326647588,,,,,0.95428,0.3087649967609352,0.284987344897659,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Jamilur Rahman, Dhaka Daskhin, 23.05.2022(04)",,1,15.0,4.572,1.5,6.0,10.0,17.0,27.0,82.29599999999999,52.15968,0.6,1.0,1.0,0.8,1.3846261863803828,17.944755375489763,,,,,0.93142,0.3438786594334934,0.6299624564445815,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Jamilur Rahman, Dhaka Daskhin, 23.05.2022(04)",,1,20.0,6.096,1.5,13.0,31.0,35.0,66.0,109.728,64.64124000000001,0.6,1.0,1.0,0.95,1.2437845579554363,46.79117507028351,,,,,0.90856,0.3608919997995087,1.646246227609882,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Jamilur Rahman, Dhaka Daskhin, 23.05.2022(04)",,4,5.0,1.524,1.5,3.0,7.0,8.0,15.0,27.432,27.19656,0.6,1.0,1.0,0.8,1.7,12.24,,,,,0.97714,0.230630184417441,0.4500732262399999,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Jamilur Rahman, Dhaka Daskhin, 23.05.2022(04)",,4,10.0,3.048,1.5,7.0,15.0,20.0,35.0,54.864,39.67812000000001,0.6,1.0,1.0,0.8,1.5875391959832383,26.67065849251841,,,,,0.95428,0.3087649967609352,0.9167173474500036,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Jamilur Rahman, Dhaka Daskhin, 23.05.2022(04)",,4,15.0,4.572,1.5,14.0,24.0,30.0,54.0,82.29599999999999,52.15968,0.6,1.0,1.0,0.8,1.3846261863803828,35.889510750979525,,,,,0.93142,0.3438786594334934,1.2378084123829898,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Jamilur Rahman, Dhaka Daskhin, 23.05.2022(04)",,4,20.0,6.096,1.5,17.0,31.0,36.0,67.0,109.728,64.64124000000001,0.6,1.0,1.0,0.95,1.2437845579554363,47.5001322683181,,,,,0.90856,0.3608919997995087,1.6740130925308505,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Jamilur Rahman, Dhaka Daskhin, 23.05.2022(04)",,3,5.0,1.524,1.5,1.0,1.0,3.0,4.0,27.432,27.19656,0.6,1.0,1.0,0.8,1.7,3.264,,,,,0.97714,0.230630184417441,0.17688484306944,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Jamilur Rahman, Dhaka Daskhin, 23.05.2022(04)",,3,10.0,3.048,1.5,3.0,7.0,8.0,15.0,54.864,39.67812000000001,0.6,1.0,1.0,0.8,1.5875391959832383,11.430282211079316,,,,,0.95428,0.3087649967609352,0.4249665754605592,,3.5316,9.81,7.5,1.0,,18.0,9.81
