No,Site,Boring,Class,Liquefied,N60,Depth_m,FC_pct,GWT_m,PGA_g,sigma_v_prime_t_m2,sigma_v_t_m2,Mw_or_extra
1,Annan,BH-A1,Liq1,1,1.3,1.0,75.0,0.9,0.228,6.4,2.2,2.5
2,Annan,BH-A1,Liq2,1,6.5,2.0,33.0,0.9,0.228,6.4,7.0,12.6
3,Annan,BH-A2,Liq1,1,1.3,1.0,26.0,0.8,0.228,6.4,1.4,1.9
4,Annan,BH-A2,Liq2,1,6.5,3.0,65.0,0.8,0.228,6.4,5.9,11.6
5,Annan,BH-A3,Liq1,1,3.0,2.0,24.0,0.8,0.228,6.4,3.4,5.6
6,Annan,BH-A4,Liq1,1,1.4,43.0,0.6,0.228,6.4,2.1,3.0,nan
7,Annan,BH-A4,Liq2,1,7.3,19.0,0.6,0.228,6.4,7.4,14.1,nan
8,Annan,BH-A5,Liq1,1,1.3,28.0,0.6,0.228,6.4,1.8,2.5,nan
9,Annan,BH-A5,Liq2,1,4.3,99.0,0.6,0.228,6.4,4.6,8.3,nan
10,Annan,BH-A6,Liq1,1,1.3,23.0,0.6,0.228,6.4,1.8,2.5,nan
11,Annan,BH-A6,Liq2,1,4.3,97.0,0.6,0.228,6.4,4.6,8.3,nan
12,Chiuanshing Industrial Park,BS10-1,Liq1,1,2.7,2.0,36.0,1.1,0.124,7.6,3.4,5.0
13,Chiuanshing Industrial Park,BS10-1,Liq2,1,4.7,2.0,53.0,1.1,0.124,7.6,5.1,8.8
14,Chiuanshing Industrial Park,BS12-1,Liq1,1,7.7,4.0,52.0,1.1,0.124,7.6,7.8,14.4
15,Chiuanshing Industrial Park,BS12-1,Liq2,1,8.7,4.0,60.0,1.1,0.124,7.6,8.7,16.3
16,Chiuanshing Industrial Park,BS12-1,Liq3,1,2.7,5.0,7.0,1.1,0.124,7.6,3.4,5.0
17,Chiuanshing Industrial Park,BS12-1,Liq3,1,3.7,5.0,21.0,1.1,0.124,7.6,4.3,6.9
18,Chiuanshing Industrial Park,BS13-1,Liq1,1,3.7,4.0,30.0,1.1,0.124,7.6,4.4,7.0
19,Chiuanshing Industrial Park,BS15-1,Liq1,1,2.7,2.0,9.0,1.1,0.124,7.6,3.3,4.9
20,Chiuanshing Industrial Park,BS16-1,Liq1,1,5.7,2.0,33.0,1.1,0.124,7.6,6.5,11.1
21,Chiuanshing Industrial Park,BS16-1,Liq2,1,7.7,2.0,42.0,1.1,0.124,7.6,8.5,15.1
22,Chiuanshing Industrial Park,BS16-1,Liq3,1,4.7,5.0,54.0,1.1,0.124,7.6,5.4,9.1
23,Chiuanshing Industrial Park,BS21-1,Liq1,1,2.7,7.0,5.0,1.1,0.124,7.6,3.0,4.7
24,Chiuanshing Industrial Park,BS2-2,Liq1,1,2.7,3.0,46.0,1.1,0.124,7.6,6.2,7.8
25,Chiuanshing Industrial Park,BS5-1,Liq1,1,2.7,5.0,12.0,1.1,0.124,7.6,3.3,4.9
26,Chiuanshing Industrial Park,BS7-1,Liq1,1,8.7,12.0,4.0,1.1,0.124,7.6,9.6,17.2
27,Chiuanshing Industrial Park,DH-13,Liq1,1,2.8,4.0,80.0,1.4,0.165,7.6,3.7,5.2
28,Chiuanshing Industrial Park,DH-13,Liq2,1,3.8,3.0,24.0,1.4,0.165,7.6,4.7,7.1
29,Chiuanshing Industrial Park,DH-14,Liq1,1,7.8,11.0,25.0,1.4,0.165,7.6,8.5,14.9
30,Chiuanshing Industrial Park,DH-15,Liq1,1,1.8,2.0,68.0,1.5,0.165,7.6,3.3,3.5
31,Chiuanshing Industrial Park,DH-15,Liq2,1,4.8,3.0,79.0,1.5,0.165,7.6,6.3,9.6
32,Chiuanshing Industrial Park,DH-16,Liq1,1,1.8,2.0,65.0,1.3,0.165,7.6,2.9,3.4
33,Chiuanshing Industrial Park,DH-16,Liq2,1,8.8,5.0,31.0,1.3,0.165,7.6,10.0,17.5
34,Chiuanshing Industrial Park,DH-17,Liq1,1,3.8,5.0,69.0,1.3,0.165,7.6,4.9,7.4
35,Chiuanshing Industrial Park,DH-17,Liq2,1,4.8,5.0,76.0,1.3,0.165,7.6,5.9,9.3
36,Chiuanshing Industrial Park,DH-17,Liq3,1,1.8,3.0,73.0,1.3,0.165,7.6,3.0,3.5
37,Dacun Shiang,BH-01,Liq1,1,7.3,7.0,28.0,3.4,0.211,7.6,9.5,13.4
38,Maolo River,A125-5,Liq1,1,5.3,14.0,16.0,4.1,0.42,7.6,8.4,9.7
39,Maolo River,A125-5,Liq2,1,8.3,11.0,38.0,4.1,0.42,7.6,12.0,16.2
40,Maolo River,A125-7,Liq1,1,3.2,8.0,83.0,2.9,0.42,7.6,5.6,5.9
41,Maolo River,A125-9,Liq1,1,4.3,6.0,11.0,2.9,0.42,7.6,7.2,8.5
42,Maolo River,A125-9,Liq2,1,19.3,6.0,0.0,2.9,0.42,7.6,25.3,41.6
43,Maolo River,A126-1,Liq1,1,2.8,8.0,29.0,1.4,0.42,7.6,3.5,4.9
44,Maolo River,A126-1,Liq2,1,4.3,6.0,13.0,1.4,0.42,7.6,4.9,7.8
45,Maolo River,A126-2,Liq1,1,5.8,13.0,34.0,3.5,0.42,7.6,8.1,10.4
46,Maolo River,A126-2,Liq2,1,8.8,11.0,41.0,3.5,0.42,7.6,11.1,16.4
47,Maolo River,A126-4,Liq1,1,1.8,3.0,23.0,1.7,0.42,7.6,3.2,3.4
48,Maolo River,A128-2,Liq1,1,1.8,8.0,0.0,1.7,0.42,7.6,3.2,3.3
49,Maolo River,A128-2,Liq2,1,2.8,2.0,18.0,1.7,0.42,7.6,4.1,5.2
50,Maolo River,A128-5,Liq1,1,4.3,12.0,29.0,2.5,0.42,7.6,6.3,8.1
51,Maolo River,A128-5,Liq2,1,7.3,7.0,16.0,2.5,0.42,7.6,9.5,14.3
52,Maolo River,A128-7,Liq1,1,1.8,3.0,77.0,1.7,0.42,7.6,3.2,3.4
53,Maolo River,A128-7,Liq2,1,5.8,6.0,23.0,1.7,0.42,7.6,6.8,10.9
54,Maolo River,A129-1,Liq1,1,2.8,2.0,30.0,2.6,0.42,7.6,5.1,5.3
55,Maolo River,A129-3,Liq1,1,1.9,2.0,56.0,1.5,0.42,7.6,3.2,3.5
56,Maolo River,A129-3,Liq2,1,6.8,4.0,17.0,1.5,0.42,7.6,7.8,13.0
57,Maolo River,A130-1,Liq1,1,3.3,3.0,80.0,3.1,0.42,7.6,5.6,5.8
58,Maolo River,A130-2,Liq1,1,11.8,21.0,18.0,3.0,0.42,7.6,15.9,24.7
